Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
5000,36 Months,0.5,MORTGAGE,200000,Other,MD,3.72,None,32466.05694,810,0,0,17,None,50000,0.7,26,0,None,Creditworthy
5000,36 Months,0.5,MORTGAGE,100000,Debt Consolidation,MA,2.3,None,36096.09931,740,0,0,11,None,9698,19.4,20,0,None,Creditworthy
8500,36 Months,3,RENT,18000,Credit Card,NC,6.4,One,31776.08403,690,1,5,6,None,8847,26.9,9,406,None,Creditworthy
5000,36 Months,8,MORTGAGE,150000,Home Improvement,GA,0,None,32136.34722,775,0,0,2,None,6053,19.5,19,103,None,Creditworthy
2500,36 Months,4,MORTGAGE,110000,Home Improvement,CO,11.33,None,33188.08542,760,0,0,13,None,7274,13.1,40,148,None,Creditworthy
5000,36 Months,5,MORTGAGE,75000,Credit Card,CO,15.55,None,34478.25347,755,0,0,10,None,50000,23,29,72,None,Creditworthy
5000,36 Months,7,MORTGAGE,95000,Vacation,MA,3.83,None,36728.28819,770,0,0,8,None,3660,6.8,16,214,None,Creditworthy
5000,36 Months,1,OWN,85000,Credit Card,WI,0.31,None,35708.39514,785,0,0,7,None,216,0.6,19,0,None,Creditworthy
5000,36 Months,0.5,OWN,80000,Credit Card,WI,1.21,None,35258.43889,670,3,0,15,One,27185,16.1,29,0,None,Creditworthy
5000,36 Months,4,MORTGAGE,48000,Debt Consolidation,FL,8.03,None,34928.47986,705,1,0,6,None,28329,48.6,6,104,None,Creditworthy
5000,36 Months,2,MORTGAGE,180000,Home Improvement,WI,11.93,None,34749.18403,715,1,0,16,None,50000,39.2,38,41,None,Creditworthy
5000,36 Months,0.5,MORTGAGE,180000,Home Improvement,WI,5.55,None,35229.19792,740,0,0,12,None,40934,26.3,39,33,None,Creditworthy
5000,36 Months,8,MORTGAGE,120000,Debt Consolidation,MA,2.29,None,35709.43542,775,0,0,8,None,8379,16.9,16,68,None,Creditworthy
3000,36 Months,0.5,MORTGAGE,25000,Small Business,MA,14.54,None,36790.18264,750,1,0,10,None,3660,7.8,13,527,None,Creditworthy
3000,36 Months,2,MORTGAGE,200000,Home Improvement,NY,0,One,35472.20417,675,0,19,5,None,0,0,8,485,None,Creditworthy
5000,36 Months,1,OWN,30000,Credit Card,GA,18.64,None,34064.20139,700,0,0,10,None,15840,47.1,12,260,None,Creditworthy
5300,36 Months,7,MORTGAGE,74000,Credit Card,IN,14.37,None,33643.47431,795,0,0,15,None,6844,14.4,29,88,None,Creditworthy
5400,36 Months,0.5,RENT,8000,Educationalal,GA,3,None,32596.44514,760,0,0,4,None,1321,16.5,4,351,None,Creditworthy
5100,36 Months,4,RENT,32000,Vacation,IN,14.78,None,34877.07014,770,0,0,11,None,4737,23.9,22,84,None,Creditworthy
5000,36 Months,1,RENT,73000,Credit Card,VA,9.96,None,36167.47917,720,0,0,21,None,23489,37.6,28,28,None,Creditworthy
5750,36 Months,10,MORTGAGE,125000,Debt Consolidation,MA,0.27,None,31788.53819,790,0,0,10,None,2817,10.2,16,41,None,Creditworthy
5000,36 Months,0.5,OWN,45000,Credit Card,WI,1.12,None,33469.19167,780,1,0,5,None,1783,0,11,74,None,Creditworthy
10000,36 Months,0.5,RENT,27376,Small Business,CO,10.7,None,37881.12292,710,0,0,4,None,3534,54.4,4,740,None,Creditworthy
25000,36 Months,2,RENT,48000,Small Business,NY,4.05,None,36532.25069,760,0,0,5,None,2422,23.3,12,598,None,Creditworthy
3500,36 Months,0.5,RENT,13500,Educationalal,FL,16.44,None,37616.48681,710,1,0,10,None,2864,41.1,16,536,None,Creditworthy
2700,36 Months,1,RENT,52200,Debt Consolidation,MA,12.57,None,37857.12222,625,1,0,12,None,3075,92.3,13,27,None,Creditworthy
12250,36 Months,3,RENT,60000,Small Business,FL,17.12,One,30000,745,2,19,10,None,17214,8.1,24,751,None,Creditworthy
1200,36 Months,0.5,RENT,20000,Credit Card,ME,2.04,None,38132.20833,660,2,24,3,None,1153,75.8,4,649,None,Creditworthy
20000,36 Months,6,MORTGAGE,145000,Credit Card,FL,10.15,None,35065.33333,680,0,0,17,None,41674,74.1,26,11,None,Uncreditworthy
12000,36 Months,9,OWN,75000,Credit Card,FL,15,None,34796.37847,680,3,78,9,None,43039,93.4,24,11,None,Creditworthy
6400,36 Months,1,RENT,60000,Moving,WI,7.72,None,36982.33333,710,0,0,7,None,3362,69.3,8,276,None,Creditworthy
12000,36 Months,1,RENT,65000,Debt Consolidation,NY,7.14,Two,30547.07917,680,0,2,6,None,11868,71.9,23,128,None,Creditworthy
5000,36 Months,6,RENT,40000,Car,WI,2.55,None,31087.19722,770,2,0,4,None,2562,14,7,845,None,Creditworthy
3500,36 Months,0.5,RENT,20000,Moving,MA,1.5,None,37867.39097,680,0,0,17,None,1882,32.4,18,239,None,Creditworthy
3000,36 Months,2,MORTGAGE,36153,Debt Consolidation,IN,7.47,None,36728.28333,665,2,0,3,One,1064,70.9,6,1000,One,Creditworthy
3500,36 Months,5,RENT,98000,Credit Card,NJ,8.52,One,34300.22153,750,0,15,19,None,6432,6,37,54,None,Creditworthy
1000,36 Months,2,MORTGAGE,33990,Wedding,VA,14.47,None,38170.25903,685,1,0,9,None,4485,36.9,11,207,None,Uncreditworthy
3500,36 Months,1,RENT,78000,Other,NJ,11.06,One,34300.31319,700,0,5,13,None,16310,20.5,32,43,None,Creditworthy
5000,36 Months,3,MORTGAGE,130000,Debt Consolidation,CT,8.55,None,33350.26875,710,0,38,9,None,20969,40.2,26,94,None,Creditworthy
10000,36 Months,0.5,RENT,35000,Debt Consolidation,NY,17.38,None,36592.26667,705,0,44,10,None,22213,65.9,22,129,None,Creditworthy
5000,36 Months,1,MORTGAGE,200000,Home Improvement,WI,6.48,None,33953.3625,750,1,47,12,None,2160,2.3,22,57,None,Creditworthy
5000,36 Months,0.5,MORTGAGE,70000,Credit Card,AZ,4.56,None,30000,810,0,0,13,None,813,1,36,240,None,Creditworthy
7500,36 Months,1,MORTGAGE,150000,Home Improvement,MA,2.72,None,34092.52292,755,4,0,15,None,23678,24.4,60,35,None,Creditworthy
8000,36 Months,3,RENT,48000,Debt Consolidation,MD,15.13,None,36654.30556,720,3,0,10,None,11289,47.8,15,405,None,Creditworthy
6500,36 Months,9,MORTGAGE,200000,Small Business,GA,6.45,None,33055.38819,675,0,0,11,None,50000,75.3,28,1000,None,Uncreditworthy
2500,36 Months,0.5,MORTGAGE,75000,Home Improvement,NE,20,None,34374.12569,770,3,0,9,None,269,3.8,35,37,None,Uncreditworthy
2500,36 Months,0.5,MORTGAGE,32000,Home Improvement,NE,20,None,33805.52153,680,1,0,11,None,3408,35.1,32,75,None,Uncreditworthy
15450,36 Months,2,MORTGAGE,40000,Debt Consolidation,VA,13.5,None,33929.525,710,3,54,13,One,6513,34.3,29,958,One,Uncreditworthy
4000,36 Months,0.5,RENT,40000,Educationalal,NJ,3.45,None,37563.29375,770,0,0,2,None,330,11,4,380,None,Creditworthy
2000,36 Months,0.5,RENT,70000,Credit Card,NY,6.07,None,36754.2125,710,1,24,13,None,5967,19.8,17,505,None,Creditworthy
4000,36 Months,1,RENT,18000,Car,VA,18,None,37113.42083,705,1,0,4,None,5533,79.6,5,201,None,Creditworthy
3000,36 Months,10,OWN,125000,Home Improvement,WA,2.14,None,30937.38333,760,0,0,15,None,21050,1,24,52,None,Creditworthy
3000,36 Months,9,OWN,50000,Vacation,WA,5.35,None,30937.44097,760,0,0,17,None,21050,0.7,29,17,None,Creditworthy
2800,36 Months,0.5,NOne,120000,Other,MA,15,None,36281.29167,740,1,0,6,None,8155,14.9,8,178,None,Creditworthy
4000,36 Months,0.5,NOne,100000,Other,CA,15,None,36281.29167,720,1,0,6,None,8155,14.9,8,170,None,Creditworthy
3000,36 Months,5,MORTGAGE,62000,Home Improvement,FL,12.23,None,36578.16597,735,0,0,10,None,3678,30.7,14,89,None,Creditworthy
5400,36 Months,1,MORTGAGE,35000,Debt Consolidation,MA,7.1,None,36364.31458,660,2,42,10,None,2040,36.2,21,72,None,Creditworthy
12750,36 Months,1,RENT,60000,Credit Card,NY,19.52,None,36609.32708,665,2,0,9,None,33074,68.8,9,500,None,Creditworthy
4000,36 Months,1,OWN,61800,Other,CT,3.46,None,36791.13125,745,0,0,12,None,1918,17.1,16,234,None,Creditworthy
18500,36 Months,1,RENT,90000,Credit Card,NY,5.24,None,37541.32292,660,0,0,8,None,22379,62.2,15,930,None,Creditworthy
20000,36 Months,0.5,RENT,96000,Small Business,NY,2.86,None,37123.38264,735,0,0,4,None,10296,42.5,8,1000,None,Uncreditworthy
3175,36 Months,0.5,OWN,15000,Small Business,MA,12.24,None,38023.38889,670,3,0,16,None,2867,55.1,17,945,None,Uncreditworthy
4800,36 Months,5,RENT,30000,Debt Consolidation,NE,12.36,None,37547.37153,680,0,0,9,None,12310,86.1,15,112,None,Creditworthy
12125,36 Months,10,MORTGAGE,150000,Debt Consolidation,NY,4.8,None,30000,765,0,0,10,None,50000,39.1,27,174,None,Creditworthy
6625,36 Months,2,MORTGAGE,88000,Credit Card,VA,18,None,35597.175,700,2,0,9,None,16738,26.1,24,801,None,Creditworthy
9500,36 Months,2,OWN,63000,Other,MA,3.49,None,33383.05069,790,1,0,13,None,40384,9.2,28,52,None,Creditworthy
5000,36 Months,0.5,RENT,45000,Debt Consolidation,OH,5,None,37191.53403,760,2,0,8,None,1359,5.6,16,133,None,Creditworthy
10000,36 Months,9,MORTGAGE,200000,Debt Consolidation,MA,20,None,30000,725,2,0,18,None,50000,44.8,34,40,None,Creditworthy
10000,36 Months,0.5,MORTGAGE,173000,Car,WI,0.72,None,31313.21736,785,3,0,14,None,3054,5.6,41,13,None,Creditworthy
9500,36 Months,2,OWN,90000,Other,MA,2.44,None,30624.08264,790,0,0,11,None,40384,9.6,25,77,None,Creditworthy
7500,36 Months,6,MORTGAGE,93000,Home Improvement,FL,9.66,None,34794.10972,790,3,0,9,None,50000,0,18,675,None,Creditworthy
2000,36 Months,10,MORTGAGE,118000,Debt Consolidation,MA,0.43,None,33390.29167,770,0,0,14,None,4709,18.5,8,16,None,Creditworthy
2850,36 Months,3,RENT,45000,Other,NY,2.8,One,33868.14236,665,0,4,5,None,2850,75,19,146,None,Creditworthy
2125,36 Months,0.5,MORTGAGE,96000,Small Business,NC,16.89,None,35249.26528,700,0,46,5,None,51,0,9,680,None,Uncreditworthy
10000,36 Months,6,MORTGAGE,150000,Home Improvement,MA,5.84,None,34019.32778,790,0,0,7,None,37152,3.7,19,128,None,Creditworthy
17000,36 Months,10,RENT,75000,Debt Consolidation,NY,9.55,None,33629.42014,760,1,0,13,None,3839,16.6,24,65,None,Creditworthy
10000,36 Months,3,MORTGAGE,85000,Home Improvement,MA,3.11,None,34020.09236,795,0,0,6,None,37152,3.7,12,103,None,Creditworthy
8000,36 Months,9,MORTGAGE,70000,Credit Card,FL,10.2,One,35731.18889,670,0,22,15,None,26283,39.5,20,51,None,Uncreditworthy
6500,36 Months,0.5,OWN,45000,Debt Consolidation,NY,5.87,None,37591.08889,690,0,0,6,None,5607,42.2,7,387,None,Creditworthy
7000,36 Months,0.5,RENT,23000,Other,NM,5.01,None,38227.4625,660,3,0,3,None,1061,81.9,4,140,None,Creditworthy
10000,36 Months,3,RENT,120000,Debt Consolidation,NC,14.4,None,34658.42083,720,1,0,8,None,50000,77.5,23,119,None,Creditworthy
7250,36 Months,5,MORTGAGE,57000,Credit Card,MD,7.22,None,33820.50694,710,1,0,11,None,40598,77.3,42,130,None,Creditworthy
10250,36 Months,4,RENT,72000,Debt Consolidation,FL,17.83,None,38050.23611,685,1,0,28,None,3815,6.5,32,196,None,Creditworthy
3775,36 Months,7,MORTGAGE,120000,Other,MO,0,None,35411.18542,770,1,64,10,None,0,0,22,804,None,Creditworthy
2100,36 Months,0.5,RENT,110000,Debt Consolidation,MA,0.22,None,30000,810,0,0,4,None,50,0.3,6,48,None,Creditworthy
20000,36 Months,6,RENT,92000,Small Business,MD,1.53,None,35738.16597,665,1,34,4,None,4569,56.4,7,117,None,Creditworthy
6000,36 Months,2,RENT,19000,Educationalal,NY,8.15,None,36252.41528,690,0,0,6,None,8528,86.1,7,399,None,Creditworthy
9000,36 Months,0.5,RENT,32400,Credit Card,AZ,22.15,None,36554.52083,745,0,0,11,None,14345,45.8,21,280,None,Creditworthy
6625,36 Months,3,RENT,50000,Small Business,WA,18.38,None,35984.07222,705,1,41,11,None,113,2.4,21,554,None,Creditworthy
7725,36 Months,0.5,RENT,62200,Debt Consolidation,NY,9.8,None,36254.16667,675,3,0,8,None,12231,81,13,254,None,Uncreditworthy
7200,36 Months,3,RENT,57000,Debt Consolidation,MA,20.76,One,35595.11597,665,0,8,14,None,13552,69.1,18,118,None,Creditworthy
6000,36 Months,0.5,MORTGAGE,87300,Credit Card,MO,10.6,None,36855.30625,690,0,0,11,None,16813,63.9,13,327,None,Creditworthy
9000,36 Months,8,MORTGAGE,39000,Debt Consolidation,MD,5.08,None,35657.18403,665,3,60,9,One,26233,62.9,37,68,One,Uncreditworthy
5275,36 Months,9,MORTGAGE,85000,Other,NC,2.64,None,30137.30278,780,0,0,7,None,5760,16,10,18,None,Creditworthy
4650,36 Months,10,MORTGAGE,45600,Other,MO,3.26,One,32838.42708,685,1,22,3,None,105,35,25,45,None,Uncreditworthy
6625,36 Months,3,RENT,57100,Debt Consolidation,VA,13.77,None,37189.32778,680,0,0,10,None,11490,95.7,11,1000,None,Creditworthy
2525,36 Months,0.5,MORTGAGE,40000,Home Improvement,UT,20.67,One,34101.46319,690,3,23,13,None,17641,30.5,24,396,None,Creditworthy
10000,36 Months,8,MORTGAGE,30000,Other,IN,20.4,None,36084.06667,740,3,0,5,None,0,0,9,88,None,Creditworthy
5275,36 Months,1,MORTGAGE,55000,Other,NC,12,None,30565.18403,795,1,0,13,None,12430,19.2,32,19,None,Creditworthy
4300,36 Months,1,RENT,36000,Debt Consolidation,MA,9.87,None,37797.46389,705,0,0,8,None,12323,44,16,110,None,Creditworthy
3025,36 Months,0.5,RENT,90000,Wedding,LA,9.13,None,36057.18611,695,0,0,10,None,38624,97.8,23,720,None,Creditworthy
5000,36 Months,0.5,RENT,10000,Small Business,MD,0,One,37107.37708,660,2,15,5,None,875,54.7,8,420,None,Uncreditworthy
8500,36 Months,8,MORTGAGE,85000,Small Business,MD,6.38,Four,32128.49931,665,3,15,7,None,1196,12,16,58,None,Creditworthy
25000,36 Months,2,MORTGAGE,200000,Small Business,NY,2.4,One,36599.14097,695,3,12,9,None,26628,60.4,18,41,None,Creditworthy
4275,36 Months,0.5,OWN,31000,Other,SC,24.81,None,33569.275,765,2,0,12,None,6752,24.6,18,18,None,Creditworthy
2100,36 Months,0.5,RENT,12500,Debt Consolidation,NC,14.4,None,37890.09583,660,1,0,3,None,458,91.6,3,394,None,Uncreditworthy
8000,36 Months,0.5,RENT,105000,Credit Card,NY,9.71,None,35851.13194,750,0,0,7,None,16786,44.7,12,374,None,Creditworthy
8275,36 Months,10,MORTGAGE,120000,Other,SC,12.16,None,30000,740,0,76,10,None,7336,29.9,20,18,None,Creditworthy
3275,36 Months,1,MORTGAGE,62000,Other,NC,3.83,None,35672.18333,700,1,0,10,None,7089,41.9,25,18,None,Creditworthy
5500,36 Months,6,RENT,54000,Debt Consolidation,SC,6.29,None,34263.48681,740,0,0,7,None,18388,68.9,22,380,None,Creditworthy
1200,36 Months,1,OWN,32000,Credit Card,KS,1.13,None,37445.05556,675,2,54,2,None,613,76.6,7,38,None,Creditworthy
3000,36 Months,0.5,RENT,29120,Educationalal,NJ,12.77,One,38255.23819,660,3,14,3,None,566,51.5,5,84,None,Uncreditworthy
10000,36 Months,2,RENT,36400,Debt Consolidation,AL,18.92,None,37146.08194,680,1,41,9,None,9166,50.4,20,199,None,Creditworthy
12000,36 Months,1,MORTGAGE,39000,Other,GA,11.78,None,34476.11528,705,0,62,6,One,5406,33.4,14,240,None,Uncreditworthy
4000,36 Months,1,RENT,35000,Other,NJ,5.83,None,37206.27847,685,2,0,7,None,1188,3,7,159,None,Uncreditworthy
3000,36 Months,1,OWN,18000,Educationalal,NJ,15.4,None,30000,705,1,0,9,None,12003,40.4,9,55,None,Creditworthy
2225,36 Months,2,RENT,60000,Moving,CA,8.14,None,34567.14028,705,1,0,9,None,20511,62,9,1000,None,Uncreditworthy
2825,36 Months,3,MORTGAGE,70000,Small Business,TN,18,None,35676.13472,730,2,0,11,None,50000,10,41,1000,None,Creditworthy
8275,36 Months,9,MORTGAGE,49000,Other,NC,9.89,None,30000,770,0,0,14,None,7744,17.1,34,18,None,Creditworthy
5275,36 Months,0.5,MORTGAGE,70000,Other,NC,17.57,None,33938.34236,735,1,0,12,None,50000,38,37,18,None,Creditworthy
6225,36 Months,0.5,RENT,45000,Credit Card,MA,17.76,None,37870.23125,715,0,0,10,None,579,23.2,15,993,None,Creditworthy
20000,36 Months,8,MORTGAGE,85000,Debt Consolidation,NJ,16.87,None,30310.30278,705,0,0,15,None,34776,54.3,41,205,None,Uncreditworthy
7000,36 Months,2,RENT,55400,Debt Consolidation,WA,10.05,None,37481.05833,690,0,0,15,None,8047,33.8,15,74,None,Creditworthy
5000,36 Months,0.5,RENT,15000,Other,ME,24.4,None,36161.42986,735,3,0,6,None,0,0,6,265,None,Creditworthy
4800,36 Months,0.5,RENT,25000,Debt Consolidation,AL,18.19,One,36785.41181,670,0,9,5,None,409,81.8,17,483,None,Creditworthy
25000,36 Months,10,MORTGAGE,57000,Small Business,WA,8.93,None,30000,820,0,0,9,None,185,0.5,18,537,None,Creditworthy
4925,36 Months,10,MORTGAGE,84000,Debt Consolidation,VA,4.84,None,33042.52292,725,2,0,13,None,48251,50.1,28,22,None,Creditworthy
3000,36 Months,0.5,RENT,38000,Other,LA,19.93,None,36792.47847,685,0,59,23,None,772,96.5,29,434,None,Creditworthy
8000,36 Months,1,RENT,50000,Debt Consolidation,NH,8.04,One,36283.52569,670,1,11,9,None,1019,4.5,13,42,None,Creditworthy
12375,36 Months,3,MORTGAGE,46713,Small Business,VA,16.39,None,33733.36042,690,2,38,11,None,8332,39.9,28,304,None,Creditworthy
9850,36 Months,2,RENT,70000,Other,NY,9.09,None,33286.2375,795,1,0,12,None,1790,4.5,22,256,None,Creditworthy
25000,36 Months,2,MORTGAGE,75000,Debt Consolidation,FL,24.85,None,33046.28472,720,3,0,14,None,50000,74.7,33,134,None,Uncreditworthy
8275,36 Months,4,MORTGAGE,109000,Other,NC,24.01,None,34713.20694,765,2,60,6,None,29901,71.2,19,18,None,Uncreditworthy
8000,36 Months,2,RENT,52000,Debt Consolidation,UT,11.31,None,37819.34306,665,1,0,6,None,5867,74.3,7,62,None,Creditworthy
25000,36 Months,0.5,MORTGAGE,78000,Home Improvement,SD,0.8,None,37249.36667,730,1,0,8,None,10605,22.1,27,425,None,Creditworthy
15450,36 Months,7,RENT,120000,Debt Consolidation,WA,16.97,None,30000,695,3,0,27,None,50000,44.5,39,64,None,Uncreditworthy
10000,36 Months,0.5,MORTGAGE,200000,Home Improvement,NY,2.97,None,34464.53125,710,2,28,4,None,481,80.2,17,30,None,Uncreditworthy
10000,36 Months,0.5,RENT,30000,Educationalal,SC,4.2,None,37826.24653,735,1,0,2,None,2282,19,2,99,None,Creditworthy
4000,36 Months,0.5,RENT,14400,Other,FL,8.92,None,38246.37292,670,1,0,8,None,3614,61.3,13,178,None,Creditworthy
7000,36 Months,3,MORTGAGE,63500,Debt Consolidation,AZ,8.5,None,32548.27083,680,1,0,9,One,14930,79,21,794,One,Creditworthy
19950,36 Months,10,MORTGAGE,116000,Credit Card,MA,13.07,None,30000,725,0,0,7,None,33989,82.9,16,305,None,Creditworthy
1500,36 Months,1,RENT,25000,Other,MD,3.84,One,37859.18333,630,1,5,4,None,1238,61.9,6,1000,None,Creditworthy
18000,36 Months,10,MORTGAGE,41000,Educationalal,GA,15.37,None,31889.17847,745,2,30,14,None,4746,18.5,33,55,None,Creditworthy
4800,36 Months,0.5,RENT,21000,Wedding,TX,6.34,None,36361.15139,750,0,0,7,None,3470,25.5,8,97,None,Creditworthy
3000,36 Months,2,RENT,62000,Wedding,VA,11.98,None,37592.50833,680,0,0,9,None,12640,83.2,12,398,None,Creditworthy
3000,36 Months,5,MORTGAGE,93000,Home Improvement,WA,0,None,31142.24375,810,0,0,7,None,368,1.2,15,296,None,Creditworthy
5875,36 Months,7,MORTGAGE,66000,Credit Card,VA,19.82,One,35102.27986,675,1,9,5,None,30597,89.5,25,55,None,Creditworthy
18000,36 Months,2,RENT,27000,Medical,FL,10.8,None,34342.47222,680,0,0,5,None,8537,75.5,5,1000,None,Creditworthy
12000,36 Months,0.5,RENT,35000,Debt Consolidation,MA,15.74,None,37893.16458,690,2,0,10,None,15649,54.5,23,118,None,Creditworthy
5000,36 Months,7,MORTGAGE,52000,Educationalal,FL,9.55,None,30000,765,0,0,10,None,4067,7.3,24,81,None,Creditworthy
4800,36 Months,1,RENT,35000,Debt Consolidation,VA,7.51,None,36599.08194,685,0,52,11,One,5836,68.7,12,80,One,Creditworthy
15000,36 Months,0.5,RENT,88000,Credit Card,WA,11.95,None,34324.47292,700,0,0,3,None,24615,94.7,6,877,None,Creditworthy
3600,36 Months,1,RENT,30000,Other,MA,7.88,None,34264.48403,685,0,64,5,One,7600,71.7,10,308,None,Creditworthy
6800,36 Months,10,RENT,51000,Debt Consolidation,NJ,18.68,None,37506.13333,680,2,0,8,None,9495,87.9,8,46,None,Uncreditworthy
4800,36 Months,2,RENT,20000,Credit Card,LA,10.26,None,33069.36528,755,0,0,9,None,4921,30.4,9,87,None,Creditworthy
6400,36 Months,5,RENT,95000,Educationalal,NY,1.83,None,35978.29931,665,1,0,7,None,11200,23.2,11,10,None,Creditworthy
6000,36 Months,10,MORTGAGE,68686,Debt Consolidation,DE,6.11,None,31960.25347,775,3,0,12,None,2444,5.6,31,226,None,Creditworthy
24750,36 Months,4,RENT,60000,Debt Consolidation,NY,0.82,None,37301.39444,765,0,0,8,None,916,6.8,8,807,None,Creditworthy
25000,36 Months,10,MORTGAGE,200000,Small Business,FL,3.83,None,35742.17639,780,5,0,12,None,50000,6.6,43,228,None,Uncreditworthy
4000,36 Months,1,RENT,44000,Credit Card,TX,18.71,None,35774.25417,745,0,29,14,None,3209,12.6,37,389,None,Creditworthy
9000,36 Months,0.5,RENT,80000,Credit Card,NY,17.17,None,35566.42847,675,0,34,7,None,7570,82.3,16,48,None,Creditworthy
